date,num_trades,total_closedpnl,mean_closedpnl,median_closedpnl,win_rate,avg_size_usd,avg_size_tokens,classification,sentiment_score_norm
2023-01-05,3,0.0,0.0,0.0,0.0,159.0,0.08376666666666666,Fear,0.29
2023-05-12,9,0.0,0.0,0.0,0.0,5556.203333333334,1.3121122222222223,Neutral,0.49
2024-01-01,18,-129.53146,-7.196192222222223,0.0,0.05555555555555555,14679.973888888888,232.15481333333335,Greed,0.65
2024-01-02,6,0.0,0.0,0.0,0.0,334.69666666666666,7497.666666666667,Greed,0.71
2024-01-03,137,8244.241409,60.176944591240876,27.04384,0.9343065693430657,3452.370072992701,189669.1678832117,Greed,0.7
2024-01-04,77,2507.963406,32.57095332467532,0.54675,0.5454545454545454,4408.7074025974025,124200.39438181819,Greed,0.68
2024-01-05,14,0.0,0.0,0.0,0.0,6216.103571428571,2.1303571428571426,Greed,0.72
2024-01-06,25,91.510419,3.66041676,0.0,0.36,513.3848,19997.52,Greed,0.7
2024-01-07,64,5065.839308,79.1537391875,0.0,0.40625,5666.721093749999,19175.58593125,Greed,0.71
2024-01-08,57,167.080017,2.9312283684210527,0.0,0.07017543859649122,3996.044385964912,5137.320734096491,Greed,0.71
2024-01-09,12,137.433093,11.452757750000002,0.0,0.4166666666666667,1029.9733333333334,487.2467616666666,Extreme Greed,0.76
2024-01-10,4,0.0,0.0,0.0,0.0,34988.58,0.56409,Greed,0.73
2024-01-11,23,1040.475736,45.238075478260875,0.0,0.2608695652173913,11347.001304347827,2519.099794347826,Extreme Greed,0.76
2024-01-12,416,40886.364494,98.28453003365385,0.5600160000000001,0.53125,1958.441875,8557.978933701948,Greed,0.71
2024-02-01,17,783.979116,46.11641858823529,0.0,0.47058823529411764,7138.1611764705885,12248.13852117647,Greed,0.63
2024-02-02,42,456.423473,10.867225547619048,0.0,0.30952380952380953,11292.343571428572,1003.3270671428572,Greed,0.63
2024-02-03,31,230.90060000000005,7.448406451612905,1.3124,0.6774193548387096,2038.6309677419354,21023.645161290322,Greed,0.6
2024-02-04,41,883.760812,21.555141756097562,0.0,0.2926829268292683,5845.475853658536,145.3196317073171,Greed,0.6
2024-02-06,93,192.906947,2.074268247311828,0.0,0.3655913978494624,316.822688172043,336.43548387096774,Greed,0.64
2024-02-07,18,2421.253116,134.514062,10.35,0.7222222222222222,1852.6372222222224,634.4611111111112,Greed,0.62
2024-02-08,63,782.3681909999999,12.418542714285714,0.0,0.2698412698412698,6290.799523809524,1084.6567308063493,Greed,0.66
2024-02-09,2,0.0,0.0,0.0,0.0,15000.21,6.18285,Greed,0.72
2024-02-10,4,0.0,0.0,0.0,0.0,24988.585,0.4102475,Greed,0.74
2024-02-11,2,0.0,0.0,0.0,0.0,20000.0,0.29036,Greed,0.71
2024-02-12,270,18489.604313,68.48001597407408,0.0,0.4074074074074074,2167.568740740741,781.3549586666667,Greed,0.7
2024-03-01,67,866.015507,12.925604582089552,0.0,0.417910447761194,5888.050149253731,962.718319402985,Extreme Greed,0.8
2024-03-02,56,223.30918699999998,3.9876640535714283,0.0,0.10714285714285714,10782.5,172.52263482142857,Extreme Greed,0.8
2024-03-03,79,8361.086245,105.83653474683545,15.04116,0.6835443037974683,4946.1478481012655,617403.642278481,Extreme Greed,0.83
2024-03-04,4,126.7884,31.6971,0.0,0.25,4221.8925,577.5,Extreme Greed,0.82
2024-03-05,36,5306.017045,147.3893623611111,0.0,0.4722222222222222,7852.295833333333,1181.3186777777778,Extreme Greed,0.9
2024-03-06,70,562.808208,8.040117257142859,4.63499,0.6285714285714286,306.66942857142857,274.2757142857143,Extreme Greed,0.75
2024-03-07,18,1118.387284,62.132626888888886,0.0,0.2222222222222222,9977.814444444444,14.254511111111112,Extreme Greed,0.82
2024-03-08,37,464.1897,12.545667567567568,0.0,0.02702702702702703,7852.239459459459,1943.726457837838,Extreme Greed,0.81
2024-03-10,9,100.375782,11.152864666666666,0.0,0.3333333333333333,14770.632222222222,419.77671,Extreme Greed,0.79
2024-03-11,6,0.0,0.0,0.0,0.0,21509.27666666667,21569.436363333334,Extreme Greed,0.82
2024-03-12,374,23576.539285,63.03887509358289,0.0,0.4304812834224599,2900.177887700535,671.7823864171123,Extreme Greed,0.81
2024-04-01,5,-67.60364,-13.520728,-0.0786,0.0,19958.508,9.01916,Extreme Greed,0.79
2024-04-02,35,47.62389499999999,1.360682714285714,-0.02695,0.2571428571428571,5805.358,597.2897454285715,Extreme Greed,0.79
2024-04-03,300,27799.775742,92.66591914,30.85353,0.8866666666666667,5259.989566666667,122975.3317346,Greed,0.71
2024-04-04,32,0.0,0.0,0.0,0.0,2999.6165625,0.8838843749999999,Greed,0.7
2024-04-05,9,0.0,0.0,0.0,0.0,6555.416666666667,64436.475877777775,Extreme Greed,0.79
2024-04-06,53,52.211438,0.9851214716981133,0.0,0.4716981132075472,457.42283018867926,46.85543735849057,Extreme Greed,0.75
2024-04-07,25,0.0,0.0,0.0,0.0,17222.720400000002,12.119603999999999,Extreme Greed,0.78
2024-04-08,127,-122672.000883,-965.9212667952756,0.0,0.023622047244094488,9509.795826771655,1787.7930654385825,Extreme Greed,0.76
2024-04-09,34,1065.785132,31.346621529411763,0.0,0.14705882352941177,3867.0873529411765,1535.5995032352942,Extreme Greed,0.8
2024-04-10,1,0.0,0.0,0.0,0.0,0.34,307.367829,Extreme Greed,0.78
2024-04-11,36,2799.410474,77.76140205555555,29.134382,0.6388888888888888,12550.332499999999,3595.035491666667,Extreme Greed,0.76
